Month_Year,grid_id,2.5,CO,NO,PM10,SO2,month,year
2011-01-01,10_2,1.321495348850762,-0.3358429244692294,0.2693773269654646,-0.7798064210168619,0.5479023340202411,-1.5992279239988119,-1.6975301058897692
2011-01-01,1_-2,,,,,2.618262621215293,-1.5992279239988119,-1.6975301058897692
2011-01-01,1_4,1.6870857467309293,,,,,-1.5992279239988119,-1.6975301058897692
2011-01-01,1_9,1.2970257463418835,,,-0.6657545178968156,,-1.5992279239988119,-1.6975301058897692
2011-01-01,3_4,1.455528388640443,,0.9299564278868302,,0.945231735510799,-1.5992279239988119,-1.6975301058897692
2011-01-01,4_1,,,,0.13028552443550828,,-1.5992279239988119,-1.6975301058897692
2011-01-01,5_1,1.5598922683431968,1.6278545763029237,,,,-1.5992279239988119,-1.6975301058897692
2011-01-01,5_3,,0.306325828939846,0.9353311512961092,,2.618262621215293,-1.5992279239988119,-1.6975301058897692
2011-01-01,5_6,,0.9348577941491145,2.12078014644665,,,-1.5992279239988119,-1.6975301058897692
2011-01-01,6_4,1.765786711483339,,,,,-1.5992279239988119,-1.6975301058897692
2011-01-01,7_0,,0.9509739983852497,0.9400123620074162,,,-1.5992279239988119,-1.6975301058897692
2011-02-01,10_2,1.9799133991969093,-0.638486644403574,,-1.7697769400988648,-0.03247498408362703,-1.30961191109336,-1.6975301058897692
2011-02-01,1_-2,,,,,2.8491091337788945,-1.30961191109336,-1.6975301058897692
2011-02-01,1_4,0.26721283382406547,,,,,-1.30961191109336,-1.6975301058897692
2011-02-01,1_9,1.6498698771285933,,,,,-1.30961191109336,-1.6975301058897692
2011-02-01,3_4,0.33011303730295105,,1.5812577324469412,,0.8942999834552195,-1.30961191109336,-1.6975301058897692
2011-02-01,4_1,,,,0.005884467143457889,,-1.30961191109336,-1.6975301058897692
2011-02-01,5_1,0.8460824676312434,1.547273555122248,,,,-1.30961191109336,-1.6975301058897692
2011-02-01,5_3,,0.5659118328861645,1.6313578327977185,,2.8491091337788945,-1.30961191109336,-1.6975301058897692
2011-02-01,5_6,,0.7978700581419661,1.9876252130699157,,,-1.30961191109336,-1.6975301058897692
2011-02-01,6_4,0.7922346588818838,,,,,-1.30961191109336,-1.6975301058897692
2011-02-01,7_0,,0.6551265349076268,1.761246981855291,,,-1.30961191109336,-1.6975301058897692
2011-03-01,10_2,0.10479887558753943,-0.9299213376736838,,-1.5340696736507689,-0.2602201668955674,-1.0199958981879078,-1.6975301058897692
2011-03-01,1_-2,,,,,1.439115391807329,-1.0199958981879078,-1.6975301058897692
2011-03-01,1_4,-0.4370453423441995,,,,,-1.0199958981879078,-1.6975301058897692
2011-03-01,1_9,1.0214398765017971,,,-0.2612504348310511,,-1.0199958981879078,-1.6975301058897692
2011-03-01,3_4,0.5779586151899038,,0.7087258772339332,,0.4328274421031497,-1.0199958981879078,-1.6975301058897692
2011-03-01,4_1,,,,-0.00015930891931378,,-1.0199958981879078,-1.6975301058897692
2011-03-01,5_1,0.40243161501483316,0.2740934204675754,,,,-1.0199958981879078,-1.6975301058897692
2011-03-01,5_3,,0.5641850967180073,1.319623875059546,,1.439115391807329,-1.0199958981879078,-1.6975301058897692
2011-03-01,5_6,,0.4674878713011968,0.8897326914044854,,,-1.0199958981879078,-1.6975301058897692
2011-03-01,6_4,0.9160341698749264,,,,,-1.0199958981879078,-1.6975301058897692
2011-03-01,7_0,,0.6286499136625476,2.2288479184625496,,,-1.0199958981879078,-1.6975301058897692
2011-04-01,10_2,-0.3946475162149557,-1.1006188008747477,,-0.7012373322008301,-0.5697563801788054,-0.7303798852824558,-1.6975301058897692
2011-04-01,1_-2,,,,,1.5960263451098717,-0.7303798852824558,-1.6975301058897692
2011-04-01,1_4,0.7590444414574755,,,,,-0.7303798852824558,-1.6975301058897692
2011-04-01,1_9,1.0339748859660955,,,-0.44308175466243915,,-0.7303798852824558,-1.6975301058897692
2011-04-01,3_4,1.1375876054505945,,0.32727077625969647,,0.3233498982907523,-0.7303798852824558,-1.6975301058897692
2011-04-01,4_1,,,,-0.4014342301396555,,-0.7303798852824558,-1.6975301058897692
2011-04-01,5_1,0.715736930169903,1.4873212753638254,,,,-0.7303798852824558,-1.6975301058897692
2011-04-01,5_3,,0.6146825366578974,0.7462560599339783,,1.5960263451098717,-0.7303798852824558,-1.6975301058897692
2011-04-01,5_6,,0.6479893587459099,0.8572185044145897,,,-0.7303798852824558,-1.6975301058897692
2011-04-01,6_4,0.9415906372917205,,,,,-0.7303798852824558,-1.6975301058897692
2011-04-01,7_0,,0.7312564139659409,1.6209667008731123,,,-0.7303798852824558,-1.6975301058897692
2011-05-01,10_2,-1.4724002564203411,-1.12301476745117,-1.6938043830761222,-1.3455038604922922,-0.5858075990084426,-0.4407638723770038,-1.6975301058897692
2011-05-01,1_-2,,,,,1.2168677464738904,-0.4407638723770038,-1.6975301058897692
2011-05-01,1_4,0.5059137165673221,,,,,-0.4407638723770038,-1.6975301058897692
2011-05-01,1_9,0.12684574517474687,,,-0.30839188812067014,,-0.4407638723770038,-1.6975301058897692
2011-05-01,3_4,0.7242202440983269,,-0.030385280629152942,,0.8094137300292535,-0.4407638723770038,-1.6975301058897692
2011-05-01,4_1,,,,0.056954374873878694,,-0.4407638723770038,-1.6975301058897692
2011-05-01,5_1,1.0426387895664195,1.8373652313726794,,,,-0.4407638723770038,-1.6975301058897692
2011-05-01,5_3,,0.3869068501205214,0.45732752421927836,,1.2168677464738904,-0.4407638723770038,-1.6975301058897692
2011-05-01,5_6,,0.8703929772045742,0.306488512410485,,,-0.4407638723770038,-1.6975301058897692
2011-05-01,6_4,0.8075802535263455,,,,,-0.4407638723770038,-1.6975301058897692
2011-05-01,7_0,,0.709230934843223,0.9199004937662443,,,-0.4407638723770038,-1.6975301058897692
2011-06-01,10_2,0.22555318413189315,-1.1324116765042147,-1.6366531574907905,-1.2512209539130539,-0.2507898521539634,-0.1511478594715518,-1.6975301058897692
2011-06-01,1_-2,,,,,2.3115012640069748,-0.1511478594715518,-1.6975301058897692
2011-06-01,1_4,1.4911340546640321,,,,,-0.1511478594715518,-1.6975301058897692
2011-06-01,1_9,0.5888358505830622,,,0.3987299112236176,,-0.1511478594715518,-1.6975301058897692
2011-06-01,3_4,2.0115921851816823,,-0.1507212922721687,,0.4700745011821796,-0.1511478594715518,-1.6975301058897692
2011-06-01,4_1,,,,0.5047981811252606,,-0.1511478594715518,-1.6975301058897692
2011-06-01,5_1,1.81705701372713,2.5797850398506363,,,,-0.1511478594715518,-1.6975301058897692
2011-06-01,5_3,,0.231654082645753,0.8493355767476481,,2.3115012640069748,-0.1511478594715518,-1.6975301058897692
2011-06-01,5_6,,0.7645632360539537,1.1585613302281572,,,-0.1511478594715518,-1.6975301058897692
2011-06-01,5_7,,,0.05217923109776525,,,-0.1511478594715518,-1.6975301058897692
2011-06-01,6_4,1.3449103499702064,,,,,-0.1511478594715518,-1.6975301058897692
2011-06-01,7_0,,0.8644837023179914,1.2001258579265799,,,-0.1511478594715518,-1.6975301058897692
2011-07-01,10_2,2.113241193689467,-0.644530220992125,-1.4241724253773007,-0.8269478743064812,0.37130486595241824,0.13846815343390023,-1.6975301058897692
2011-07-01,1_-2,,,,,3.048945911324725,0.13846815343390023,-1.6975301058897692
2011-07-01,1_4,2.8063883565429744,,,,,0.13846815343390023,-1.6975301058897692
2011-07-01,1_9,2.0983446601845976,,,0.5774112261116903,,0.13846815343390023,-1.6975301058897692
2011-07-01,3_4,2.4069562051148314,,0.3220752102973939,,1.2292148378813037,0.13846815343390023,-1.6975301058897692
